0,1,2,3,4,5,6,7
,,42,3794.87,2723.05,1071.82,2023-10-17 11:23:01.078386+00:00,Ranjeet
"PO NO 1024 - 2023, Rahul Eng 16 Nos",Rahul Engineering Global Pvt Ltd.,,,,,,
,,36,4900.0,472.44,4427.56,2023-10-17 11:23:35.982712+00:00,Ranjeet
1710075173 Delval,DelVal Flow Controls Pvt Ltd.,,,,,,
,,134,3464.57,3149.61,314.96,2023-10-18 06:59:01.758974+00:00,Ranjeet
02324-OD-665 / 11.10.23,Magwen Valves Pvt Ltd.,,,,,,
,,134,314.96,314.0,0.96,2023-10-18 07:00:02.040078+00:00,Ranjeet
"200 x 125 = 12 Nos, 125 x 75 = 3 No",Manjushree Fintube Pvt Ltd.,,,,,,
,,113,4921.26,413.39,4507.87,2023-10-20 07:34:31.829079+00:00,Ranjeet
50045009931,Forbes Marshall P.Ltd (Chakan),,,,,,
0000,RAVIRAJ ANODISERS,,,,,,
,,55,4998.0,4997.0,1.0,2023-10-20 08:28:07.908999+00:00,Manjesh
4500021880,Titagarh Rail Systems Limited,,,,,,
,,158,3782.01,3782.0,0.01,2023-10-22 09:51:54.273054+00:00,Ranjeet
,,159,3782.01,759.5,3022.51,2023-10-22 10:17:58.270997+00:00,Ranjeet
AP/JPO/CA/01442/23-24,Ador Powertron Ltd,,,,,,
,,104,4921.26,374.02,4547.24,2023-10-21 06:44:38.305449+00:00,Ranjeet
50045015779,Forbes Marshall P.Ltd (Chakan),,,,,,
PVI/PO/PO205/653/23-24,Pressure Vessels ( INDIA ),,,,,,
,,52,3004.69,55.34,2949.35,2023-10-20 14:33:17.164318+00:00,Manjesh
000007,RAVIRAJ ANODISERS,,,,,,
,,56,4998.0,2400.64,2597.36,2023-10-22 07:55:38.359969+00:00,Ranjeet
1710075408,DelVal Flow Controls Pvt Ltd.,,,,,,
,,135,4921.26,2165.35,2755.91,2023-10-22 07:18:56.532509+00:00,Ranjeet
50045015494,Forbes Marshall P.Ltd (Chakan),,,,,,
,,136,4921.26,4921.0,0.26,2023-10-22 08:26:11.524987+00:00,Ranjeet
,,137,4921.26,4921.0,0.26,2023-10-22 08:25:19.136335+00:00,Ranjeet
,,138,4921.26,4921.0,0.26,2023-10-22 08:26:56.493000+00:00,Ranjeet
5007501025-5-1501,Forbes Marshall P.Ltd (Chakan),,,,,,
,,104,4547.24,551.18,3996.06,2023-10-22 07:21:21.881515+00:00,Ranjeet
,,112,836.62,374.02,462.6,2023-10-22 08:23:08.063180+00:00,Ranjeet
,,135,2755.91,2755.0,0.91,2023-10-22 07:20:13.989796+00:00,Ranjeet
,,38,4608.0,472.75,4135.25,2023-10-22 08:21:48.869518+00:00,Ranjeet
02344071,EagleBurgmann India Pvt. Ltd.,,,,,,
IN HOUSE PROCESS ( RAVI SIR),RAVIRAJ ANODISERS,,,,,,
4500715893,Kelvion India Private Limited,,,,,,
,,36,4427.56,313.72,4113.84,2023-10-23 09:37:58.699644+00:00,Ranjeet
,,36,4113.84,137.02,3976.82,2023-10-25 08:40:29.929135+00:00,Ranjeet
00001,Sonali Enterprises,,,,,,
,,159,3022.51,1023.0,1999.51,2023-10-25 08:41:35.077834+00:00,Ranjeet
REGPL/23-24/01052,Rahul Engineering Global Pvt Ltd.,,,,,,
50045015896,Forbes Marshall P.Ltd (Chakan),,,,,,
,,104,3996.06,1141.73,2854.33,2023-10-25 07:14:45.388153+00:00,Manjesh
AE/23-24/1870,Autoshell,,,,,,
,,112,462.6,462.4,0.2,2023-11-04 02:09:44.766004+00:00,Ranjeet
,,113,4507.87,4035.43,472.44,2023-10-28 09:58:30.917639+00:00,Ranjeet
Pui/Po205/662/23-24,Pressure Vessels ( INDIA ),,,,,,
,,52,2746.57,78.12,2668.45,2023-12-13 12:44:08.426865+00:00,Manjesh
REGPL/23-24/01024,Rahul Engineering Global Pvt Ltd.,,,,,,
50045016076,Forbes Marshall P.Ltd (Chakan),,,,,,
,,115,4921.26,4920.28,0.98,2023-10-28 09:54:23.816805+00:00,Manjesh
,,116,4921.26,4920.87,0.39,2023-10-28 09:55:29.038629+00:00,Manjesh
,,104,2854.33,944.88,1909.45,2023-10-28 10:12:33.870119+00:00,Manjesh
50045015996,Forbes Marshall P.Ltd (Chakan),,,,,,
500450015896,Forbes Marshall P.Ltd (Chakan),,,,,,
,,114,4831.98,3346.46,1485.52,2023-10-28 10:49:41.327826+00:00,Manjesh
,,113,472.44,471.46,0.98,2023-10-28 10:03:50.465246+00:00,Manjesh
02344293/02344294,EagleBurgmann India Pvt. Ltd.,,,,,,
,,114,4921.26,89.28,4831.98,2023-10-27 09:01:02.470184+00:00,Manjesh
3000000590-25-10-2023,BAJEL PROJECTS LIMITED,,,,,,
,,90,1645.18,1645.18,0.0,2023-10-27 20:28:55.514695+00:00,Manjesh
,,91,4614.05,4614.05,0.0,2023-10-27 20:29:11.978890+00:00,Manjesh
,,143,3782.01,3782.01,0.0,2023-10-27 20:29:36.068073+00:00,Manjesh
,,144,3782.01,3782.01,0.0,2023-10-27 20:30:48.822231+00:00,Manjesh
,,144,0.0,0.0,0.0,2023-10-27 20:31:26.749260+00:00,Manjesh
,,145,3782.01,3782.01,0.0,2023-10-27 20:31:42.789269+00:00,Manjesh
,,146,3782.01,3782.01,0.0,2023-10-27 20:31:56.345334+00:00,Manjesh
,,147,3782.01,3782.01,0.0,2023-10-27 20:32:07.586925+00:00,Manjesh
,,148,3782.01,3782.01,0.0,2023-10-27 20:32:20.557340+00:00,Manjesh
,,149,3782.01,3782.01,0.0,2023-10-27 20:32:36.421525+00:00,Manjesh
,,150,3782.01,3782.01,0.0,2023-10-27 20:32:55.635933+00:00,Manjesh
,,151,3782.01,3782.01,0.0,2023-10-27 20:33:06.984588+00:00,Manjesh
,,153,3782.01,3782.01,0.0,2023-10-27 20:33:33.837710+00:00,Manjesh
,,154,3782.01,3782.01,0.0,2023-10-27 20:33:43.393071+00:00,Manjesh
,,155,3782.01,3782.01,0.0,2023-10-27 20:36:10.952242+00:00,Manjesh
,,155,0.0,0.0,0.0,2023-10-27 20:36:27.345574+00:00,Manjesh
,,156,3782.01,3782.01,0.0,2023-10-27 20:36:42.498943+00:00,Manjesh
,,157,3782.01,3782.01,0.0,2023-10-27 20:36:56.628648+00:00,Manjesh
123,RAVIRAJ ANODISERS,,,,,,
HYT-14088,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,93,4614.05,4613.86,0.19,2023-10-29 06:56:44.755889+00:00,Manjesh
HYT-14115,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,92,4614.05,3309.26,1304.79,2023-10-28 08:46:12.480285+00:00,Manjesh
3000000590,BAJEL PROJECTS LIMITED,,,,,,
,,92,1304.79,1304.6,0.19,2023-10-28 08:48:35.150862+00:00,Manjesh
HYT14115,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,104,1525.05,1350.36,174.69,2023-10-30 04:59:55.984130+00:00,Manjesh
HYT14114,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,104,1909.45,235.6,1673.85,2023-10-30 04:54:20.377122+00:00,Manjesh
HYT14088,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,104,1673.85,148.8,1525.05,2023-10-30 04:56:36.288361+00:00,Manjesh
4500104492,Praj Industries Ltd.,,,,,,
,,37,4900.0,4900.0,0.0,2023-10-28 11:03:52.790325+00:00,Manjesh
312/23-24,Diamond Compressor,,,,,,
,,114,1485.52,1082.68,402.84,2023-10-28 11:31:22.230091+00:00,Manjesh
02343718-1,EagleBurgmann India Pvt. Ltd.,,,,,,
,,45,1289.11,68.51,1220.6,2023-10-29 06:40:35.770131+00:00,Manjesh
HYT - 14115,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,101,4921.26,158.72,4762.54,2023-10-30 05:47:14.786015+00:00,Manjesh
23PO0015,R S Industrial Solutions,,,,,,
,,49,4800.0,1830.71,2969.29,2023-10-30 04:23:45.759808+00:00,Manjesh
HYT-14109,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,35,4900.0,1122.05,3777.95,2023-10-30 05:34:13.967361+00:00,Manjesh
23PO0015..,R S Industrial Solutions,,,,,,
,,117,4921.26,708.66,4212.6,2023-10-30 06:18:06.960784+00:00,Manjesh
02344360,EagleBurgmann India Pvt. Ltd.,,,,,,
,,42,1071.82,226.92,844.9,2023-11-01 03:48:04.227516+00:00,Manjesh
HYT-14137,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,101,4762.54,158.72,4603.82,2023-10-31 05:39:38.025389+00:00,Manjesh
,,101,4603.82,52.08,4551.74,2023-10-31 05:40:15.606169+00:00,Manjesh
,,35,3777.95,590.55,3187.4,2023-10-31 05:37:36.336731+00:00,Manjesh
Z1PR/7000045974,ElectroMech Material Handling Systems (India) Pvt. Ltd.,,,,,,
,,36,3976.82,798.41,3178.41,2023-11-01 09:32:12.634871+00:00,Manjesh
50045016344,Forbes Marshall P.Ltd (Chakan),,,,,,
,,101,4551.74,748.03,3803.71,2023-11-01 03:57:56.036107+00:00,Manjesh
50045016506,Forbes Marshall P.Ltd (Chakan),,,,,,
5007501025-5-1505,Forbes Marshall P.Ltd (Chakan),,,,,,
,,117,3464.57,1476.38,1988.19,2023-11-01 03:52:11.133762+00:00,Manjesh
5007501025-5-1504,Forbes Marshall P.Ltd (Chakan),,,,,,
,,117,4212.6,748.03,3464.57,2023-11-01 03:51:33.467567+00:00,Manjesh
50045016344/30.10.2023,Forbes Marshall P.Ltd (Chakan),,,,,,
,,114,402.84,402.0,0.84,2023-11-01 09:43:40.445299+00:00,Manjesh
,,117,1988.19,1987.99,0.2,2023-11-01 09:59:43.864766+00:00,Manjesh
,,118,4921.26,1377.95,3543.31,2023-11-01 12:00:30.785510+00:00,Manjesh
50045016506/31.10.2023,Forbes Marshall P.Ltd (Chakan),,,,,,
,,101,3803.71,255.91,3547.8,2023-11-03 05:31:14.961578+00:00,Manjesh
50045015996 / 50045016076,Forbes Marshall P.Ltd (Chakan),,,,,,
,,104,174.69,174.6,0.09,2023-11-01 12:10:22.510148+00:00,Manjesh
REGPL/23-24/01085,Rahul Engineering Global Pvt Ltd.,,,,,,
,,36,2999.38,59.52,2939.86,2023-11-01 12:53:33.386726+00:00,Manjesh
23PO0016,R S Industrial Solutions,,,,,,
,,36,3178.41,179.03,2999.38,2023-11-01 12:51:15.549254+00:00,Manjesh
1710075886,DelVal Flow Controls Pvt Ltd.,,,,,,
,,38,4135.25,378.2,3757.05,2023-11-02 06:51:17.375896+00:00,Manjesh
,,140,1338.59,511.81,826.78,2023-11-03 10:46:24.212882+00:00,Manjesh
02343563/21.9.23,EagleBurgmann India Pvt. Ltd.,,,,,,
,,118,3543.31,3543.11,0.2,2023-11-02 04:53:02.684429+00:00,Manjesh
,,119,4921.26,4921.06,0.2,2023-11-02 04:55:08.519369+00:00,Manjesh
,,120,4921.26,4921.06,0.2,2023-11-02 04:54:42.820896+00:00,Manjesh
,,121,4921.26,3267.72,1653.54,2023-11-02 04:55:58.935191+00:00,Manjesh
50045016344/30.10.23,Forbes Marshall P.Ltd (Chakan),,,,,,
,,101,3547.8,1692.91,1854.89,2023-11-03 07:19:03.108335+00:00,Manjesh
41045003789,Forbes Marshall  Arca Pvt Ltd,,,,,,
,,140,4921.26,1299.21,3622.05,2023-11-03 08:38:29.769963+00:00,Manjesh
,,140,3622.05,1338.58,2283.47,2023-11-03 10:27:05.255537+00:00,Manjesh
POFS000056084,HRS PROCESS SYSTEMS LTD.,,,,,,
,,121,1653.54,452.76,1200.78,2023-11-03 04:43:46.321151+00:00,Manjesh
02344463,EagleBurgmann India Pvt. Ltd.,,,,,,
AP/JPO/CA/01459/23-24,Ador Powertron Ltd,,,,,,
,,101,1854.89,393.7,1461.19,2023-11-03 09:03:17.316410+00:00,Manjesh
HYT-14135,HYT ENGINEERING COMPANY PVT LTD.,,,,,,
,,101,1461.19,208.32,1252.87,2023-11-03 10:36:54.294370+00:00,Manjesh
023D6115/0,INTERVALVE POONAWALA LTD,,,,,,
,,38,3757.05,359.29,3397.76,2023-11-06 08:25:01.360736+00:00,Lakhan
23-24/0043,Depuro Water Engineering Private Limited.,,,,,,
,,121,1200.78,71.61,1129.17,2023-11-05 03:53:58.704927+00:00,Manjesh
01,RAVIRAJ ANODISERS,,,,,,
50045016737,Forbes Marshall P.Ltd (Chakan),,,,,,
,,140,452.76,452.75,0.01,2023-11-07 10:39:31.276474+00:00,Manjesh
,,121,1129.17,193.44,935.73,2023-11-06 08:53:43.501757+00:00,Manjesh
,,121,935.73,610.24,325.49,2023-11-07 10:35:34.541953+00:00,Manjesh
,,122,4921.26,1279.53,3641.73,2023-11-06 08:51:46.880379+00:00,Lakhan
,,101,1252.87,1252.86,0.01,2023-11-06 07:04:23.209601+00:00,Manjesh
,,105,3897.64,2755.91,1141.73,2023-11-06 07:01:37.464565+00:00,Manjesh
0188/2023-24,Viswasuta Engineering LLP,,,,,,
,,105,4921.26,1023.62,3897.64,2023-11-05 06:33:07.342373+00:00,Manjesh
02344451,EagleBurgmann India Pvt. Ltd.,,,,,,
,,42,844.9,844.0,0.9,2023-11-05 06:32:42.901621+00:00,Manjesh
9000000,RAVIRAJ ANODISERS,,,,,,
,,56,2597.36,355.88,2241.48,2023-11-05 09:24:13.200460+00:00,Manjesh
POFS000056084/05.07.23,HRS PROCESS SYSTEMS LTD.,,,,,,
,,122,3641.73,610.24,3031.49,2023-11-07 03:01:51.004357+00:00,Manjesh
23K042A,Manjushree Fintube Pvt Ltd.,,,,,,
,,122,3031.49,826.77,2204.72,2023-11-07 03:03:19.111574+00:00,Manjesh
AE/23-24/2060,Autoshell,,,,,,
,,123,4114.17,1377.95,2736.22,2023-11-07 11:46:45.045887+00:00,Manjesh
AE/23-24/2059,Autoshell,,,,,,
,,122,767.71,767.52,0.19,2023-11-07 11:44:41.862667+00:00,Manjesh
,,123,4921.26,807.09,4114.17,2023-11-07 11:46:00.998110+00:00,Manjesh
AE/23-24/2058,Autoshell,,,,,,
,,122,2204.72,1437.01,767.71,2023-11-07 11:43:14.104751+00:00,Manjesh
111,RAVIRAJ ANODISERS,,,,,,
27041-27406,Ador Powertron Ltd,,,,,,
,,105,1141.73,1141.7,0.03,2023-11-18 06:49:05.140584+00:00,Manjesh
02344557,EagleBurgmann India Pvt. Ltd.,,,,,,
,,121,325.49,325.48,0.01,2023-11-08 08:42:13.126625+00:00,Manjesh
,,121,0.01,0.01,0.0,2023-11-26 04:31:24.518468+00:00,Manjesh
02344559,EagleBurgmann India Pvt. Ltd.,,,,,,
,,123,2736.22,1397.64,1338.58,2023-11-08 09:43:56.468030+00:00,Manjesh
,,123,1338.58,236.22,1102.36,2023-11-18 07:17:38.190100+00:00,Manjesh
50045017539,Forbes Marshall P.Ltd (Chakan),,,,,,
,,124,4921.26,4921.25,0.01,2023-11-18 08:14:32.683209+00:00,Manjesh
,,125,4843.76,4843.75,0.01,2023-11-18 08:33:50.411960+00:00,Manjesh
,,127,4843.76,4843.75,0.01,2023-11-20 05:45:33.508850+00:00,Lakhan
,,123,1102.36,1102.35,0.01,2023-11-20 05:47:00.838172+00:00,Lakhan
50045016878,Forbes Marshall P.Ltd (Chakan),,,,,,
,,164,4921.26,2027.56,2893.7,2023-11-18 07:14:04.988550+00:00,Lakhan
50045017257,Forbes Marshall P.Ltd (Chakan),,,,,,
,,36,2939.86,735.17,2204.69,2023-11-19 08:47:50.646497+00:00,Manjesh
50045017274,Forbes Marshall P.Ltd (Chakan),,,,,,
,,165,4921.26,4330.71,590.55,2023-11-20 11:11:47.881609+00:00,Manjesh
4500104889,Praj Industries Ltd.,,,,,,
,,36,1981.49,1981.48,0.01,2023-11-26 04:13:12.622806+00:00,Manjesh
GEN/232400877,Zeal-Tech Automation,,,,,,
,,182,3782.01,3782.0,0.01,2023-11-18 10:11:48.693431+00:00,Lakhan
50045017769,Forbes Marshall P.Ltd (Chakan),,,,,,
,,165,590.55,590.54,0.01,2023-11-20 11:12:24.248444+00:00,Manjesh
,,165,0.01,0.01,0.0,2023-11-20 11:13:44.866167+00:00,Manjesh
50045017372,Forbes Marshall P.Ltd (Chakan),,,,,,
POFS000058313,HRS PROCESS SYSTEMS LTD.,,,,,,
,,52,2949.35,124.78,2824.57,2023-11-26 04:19:10.722361+00:00,Manjesh
EMAIL/21.11.23,Sonali Enterprises,,,,,,
,,185,3782.01,3782.0,0.01,2023-11-26 04:09:12.971114+00:00,Manjesh
,,186,3782.01,3782.0,0.01,2023-11-26 04:09:35.770673+00:00,Manjesh
,,187,3782.01,3782.0,0.01,2023-11-26 04:09:55.736250+00:00,Manjesh
1637 / 1638 / 1636 / 23-24,Ador Powertron Ltd,,,,,,
,,164,2893.7,492.13,2401.57,2023-11-24 10:33:16.206515+00:00,Manjesh
EMAIL/20.11.23,Quadrogen India Private Limited,,,,,,
,,36,2204.69,223.2,1981.49,2023-11-26 04:12:46.131996+00:00,Manjesh
MEPL/23-24/3225,METAFOLD ENGG.PVT.LTD.,,,,,,
,,159,1999.51,130.2,1869.31,2023-11-26 04:24:31.344506+00:00,Manjesh
1229/1230,SS Techno Limited,,,,,,
,,128,4843.76,813.75,4030.01,2023-11-28 04:28:33.383037+00:00,Manjesh
50045017829,Forbes Marshall P.Ltd (Chakan),,,,,,
,,164,2401.57,2401.57,0.0,2023-11-24 10:34:05.852060+00:00,Manjesh
23PO0018,R S Industrial Solutions,,,,,,
,,49,2969.29,418.04,2551.25,2023-11-26 04:14:19.797294+00:00,Manjesh
